Fecha,Resultado,Federal,U de G,Privado,Serológicas
23/05/2020,Sospechosos,726,36,Na,Na
24/05/2020,Confirmados,"1,180",372,212,Na
24/05/2020,Descartados,"8,863","4,881","1,275",Na
24/05/2020,Sospechosos,511,28,Na,Na
25/05/2020,Confirmados,"1,238",372,224,Na
25/05/2020,Descartados,"9,037","4,881","1,305",Na
25/05/2020,Sospechosos,462,28,Na,Na
26/05/2020,Confirmados,"1,295",393,274,Na
26/05/2020,Descartados,"9,162","5,053","1,340",Na
26/05/2020,Sospechosos,695,34,Na,Na
27/05/2020,Confirmados,"1,355",424,285,Na
27/05/2020,Descartados,"9,285","5,163","1,367",Na
27/05/2020,Sospechosos,862,68,Na,Na
28/05/2020,Confirmados,"1,432",440,289,Na
28/05/2020,Descartados,"9,497","5,292","1,537",Na
28/05/2020,Sospechosos,"1,022",135,Na,Na
29/05/2020,Confirmados,"1,524",467,329,Na
29/05/2020,Descartados,"9,587","5,470","1,600",Na
29/05/2020,Sospechosos,"1,232",180,Na,Na
30/05/2020,Confirmados,"1,660",506,376,Na
30/05/2020,Descartados,"9,942","5,743","1,656",Na
30/05/2020,Sospechosos,"1,112",88,Na,Na
31/05/2020,Confirmados,"1,760",512,413,Na
31/05/2020,Descartados,"10,135","5,769","1,784",Na
31/05/2020,Sospechosos,987,115,Na,Na
01/06/2020,Confirmados,"1,802",513,451,Na
01/06/2020,Descartados,"10,296","5,783","1,854",Na
01/06/2020,Sospechosos,1184,115,Na,Na
02/06/2020,Confirmados,"2,025",533,530,Na
02/06/2020,Descartados,"10,553","5,956","2,130",Na
02/06/2020,Sospechosos,1202,90,Na,Na
03/06/2020,Confirmados,"2,136",557,593,Na
03/06/2020,Descartados,"10,677","6,142","2,250",Na
03/06/2020,Sospechosos,"1,577",78,Na,Na
04/06/2020,Confirmados,"2,289",586,664,Na
04/06/2020,Descartados,"10,852","6,210","2,339",Na
04/06/2020,Sospechosos,"1,711",132,Na,Na
05/06/2020,Confirmados,"2,477",631,742,14
05/06/2020,Descartados,"11,015",6308,2434,701
05/06/2020,Sospechosos,"1,777",145,Na,Na
06/06/2020,Confirmados,"2,653",682,781,22
06/06/2020,Descartados,"11,416",6505,2506,1033
06/06/2020,Sospechosos,"1,537",121,Na,Na
07/06/2020,Confirmados,"2,820",739,809,29
07/06/2020,Descartados,"11,621",6669,2533,1109
07/06/2020,Sospechosos,"1,341",104,Na,Na
08/06/2020,Confirmados,"2,988",739,891,45
08/06/2020,Descartados,"11,849",6669,2684,1306
08/06/2020,Sospechosos,"1,317",104,Na,Na
09/06/2020,Confirmados,"3,218",760,972,65
09/06/2020,Descartados,"12,032",6769,2780,1616
09/06/2020,Sospechosos,"1,490",148,Na,Na
10/06/2020,Confirmados,"3,309",811,1040,84
10/06/2020,Descartados,"12,280",6928,2843,2087
10/06/2020,Sospechosos,"1,705",161,Na,Na
11/06/2020,Confirmados,"3,511",842,1172,107
11/06/2020,Descartados,"12,590",7116,3019,2739
11/06/2020,Sospechosos,"1,731",188,Na,Na
12/06/2020,Confirmados,"3,704",873,1259,164
12/06/2020,Descartados,"12,810",7195,3119,3397
12/06/2020,Sospechosos,"1,811",320,Na,Na
13/06/2020,Confirmados,"3,880",999,1260,218
13/06/2020,Descartados,"13,047",7607,3246,4284
13/06/2020,Sospechosos,"1,722",92,Na,Na
14/06/2020,Confirmados,"4,044",1041,1267,327
14/06/2020,Descartados,"13,250",7768,3246,4493
14/06/2020,Sospechosos,"1,481",81,Na,Na
15/06/2020,Confirmados,"4,139",1046,1366,263
15/06/2020,Descartados,"13,391",7848,3389,4977
15/06/2020,Sospechosos,"1,566",58,Na,Na
16/06/2020,Confirmados,"4,289",1109,1452,299
16/06/2020,Descartados,"13,545",8123,3481,5642
16/06/2020,Sospechosos,"1,742",106,Na,Na
17/06/2020,Confirmados,"4,495",1184,1544,372
17/06/2020,Descartados,"13,767",8343,3563,6387
17/06/2020,Sospechosos,"1,812",100,Na,Na
18/06/2020,Confirmados,"4,656",1279,1652,418
18/06/2020,Descartados,"13,964",8611,3664,7027
18/06/2020,Sospechosos,"1,903",144,Na,Na
19/06/2020,Confirmados,"4,791",1366,1768,458
19/06/2020,Descartados,"14,167",8769,3807,7416
19/06/2020,Sospechosos,"2,056",154,Na,Na
20/06/2020,Confirmados,"4,922",1449,1836,458
20/06/2020,Descartados,"14,335",9040,3930,7415
20/06/2020,Sospechosos,"2,115",154,Na,Na
21/06/2020,Confirmados,"5,090",1449,1842,523
21/06/2020,Descartados,"14,499",9101,3963,8142
21/06/2020,Sospechosos,"1,980",239,Na,Na
22/06/2020,Confirmados,"5,217",1486,1992,585
22/06/2020,Descartados,"14,683",9156,4174,8498
22/06/2020,Sospechosos,"1,977",148,Na,Na
23/06/2020,Confirmados,"5,528",1616,2047,684
23/06/2020,Descartados,"14,930",9364,4222,9298
23/06/2020,Sospechosos,"1,918",124,Na,Na
24/06/2020,Confirmados,"5,715",1719,2152,801
24/06/2020,Descartados,"15,168",9569,4497,10119
24/06/2020,Sospechosos,"1,951",120,Na,Na
25/06/2020,Confirmados,"5,875",1783,2212,951
25/06/2020,Descartados,"15,341",9724,4722,11150
25/06/2020,Sospechosos,"2,094",141,Na,Na
26/06/2020,Confirmados,"6,054",1883,2240,1074
26/06/2020,Descartados,"15,562",9894,4774,12366
26/06/2020,Sospechosos,"2,130",168,Na,Na
27/06/2020,Confirmados,"6,190",1971,2357,1097
27/06/2020,Descartados,"15,728",10119,4991,12667
27/06/2020,Sospechosos,"2,216",191,Na,Na
28/06/2020,Confirmados,"6,386",2010,2377,1102
28/06/2020,Descartados,"15,975",10236,4991,12702
28/06/2020,Sospechosos,"1,939",198,Na,Na
29/06/2020,Confirmados,"6,497",2022,2490,1184
29/06/2020,Descartados,"16,065",10320,5185,13520
29/06/2020,Sospechosos,"2,142",193,Na,Na
30/06/2020,Confirmados,"6,684",2093,2578,1275
30/06/2020,Descartados,"16,177",10518,5345,14263
30/06/2020,Sospechosos,"23,090",178,Na,Na
01/07/2020,Confirmados,"6,873",2205,2690,1415
01/07/2020,Descartados,"16,457",10752,5498,14899
01/07/2020,Sospechosos,"2,399",106,Na,Na
02/07/2020,Confirmados,"7,030",2318,2763,1502
02/07/2020,Descartados,"16,671",10919,5645,15495
02/07/2020,Sospechosos,"2,547",112,Na,Na
03/07/2020,Confirmados,"7,261","2,430","2,890","1,622"
03/07/2020,Descartados,"16,927","11,114","5,761","16,270"
03/07/2020,Sospechosos,"2,525",113,Na,Na
04/07/2020,Confirmados,"7,507","2,550","3,057","1,633"
04/07/2020,Descartados,"17,141","11,238","6,101","16,333"
04/07/2020,Sospechosos,"2,404",107,Na,Na
05/07/2020,Confirmados,"7,686","2,601","3,411","1,634"
05/07/2020,Descartados,"17,354","11,308","6,763","16,348"
05/07/2020,Sospechosos,"2,190",107,Na,Na
06/07/2020,Confirmados,"7,915","2,611","3,740","1,730"
06/07/2020,Descartados,"17,631","11,358","7,321","16,814"
06/07/2020,Sospechosos,"2,090",99,Na,Na
07/07/2020,Confirmados,"8,081","2,730","3,866","1,782"
07/07/2020,Descartados,"17,854","11,528","7,514","17,187"
07/07/2020,Sospechosos,"2,282",103,Na,Na
08/07/2020,Confirmados,"8,274","2,846","3,977","1,827"
08/07/2020,Descartados,"18,018","11,654","7,598","17,555"
08/07/2020,Sospechosos,"2,592",104,Na,Na
09/07/2020,Confirmados,"8,582","2,922","4,102","1,906"
09/07/2020,Descartados,"18,311","11,846","7,806","17,957"
09/07/2020,Sospechosos,"2,602",158,Na,Na
10/07/2020,Confirmados,"8,797","3,066","4,188","1,967"
10/07/2020,Descartados,"18,642","12,045","7,893","18,371"
10/07/2020,Sospechosos,"2,656",94,Na,Na
11/07/2020,Confirmados,"8,989","3,186","4,261","1,971"
11/07/2020,Descartados,"18,915","12,197","7,991","18,422"
11/07/2020,Sospechosos,"2,560",91,Na,Na
12/07/2020,Confirmados,"9,201","3,191","4,604","1,972"
12/07/2020,Descartados,"19,151","12,197","8,620","18,431"
12/07/2020,Sospechosos,"2,307",197,Na,Na
13/07/2020,Confirmados,"9,327","3,251","4,722","2,010"
13/07/2020,Descartados,"19,305","12,251","8,848","18,683"
13/07/2020,Sospechosos,"2,530",92,Na,Na
14/07/2020,Confirmados,"9,511","3,365","4,869","2,067"
14/07/2020,Descartados,"19,513","12,460","9,095","18,996"
14/07/2020,Sospechosos,"2,863",102,Na,Na
15/07/2020,Confirmados,"9,760","3,451","4,971","2,096"
15/07/2020,Descartados,"19,653","12,677","9,265","19,207"
15/07/2020,Sospechosos,"2,945",138,Na,Na
16/07/2020,Confirmados,"9,921","3,582","5,354","2,176"
16/07/2020,Descartados,"19,906","12,871","10,142","19,541"
16/07/2020,Sospechosos,"3,056",128,Na,Na
17/07/2020,Confirmados,"10,075","3,697","5,521","2,248"
17/07/2020,Descartados,"20,139","13,094","10,302","19,763"
17/07/2020,Sospechosos,"3,302",100,Na,Na
18/07/2020,Confirmados,"10,341","3,820","5,606","2,264"
18/07/2020,Descartados,"20,372","13,256","10,484","19,801"
18/07/2020,Sospechosos,"3,391",97,Na,Na
19/07/2020,Confirmados,"10,508","3,879","5,606","2,271"
19/07/2020,Descartados,"20,566","13,326","10,484","19,835"
19/07/2020,Sospechosos,"3,358",95,Na,Na
20/07/2020,Confirmados,"10,642","3,887","5,782","2,391"
20/07/2020,Descartados,"20,772","13,326","10,738","20,097"
20/07/2020,Sospechosos,"3,271",95,Na,Na
21/07/2020,Confirmados,"10,827","4,010","5,979","2,580"
21/07/2020,Descartados,"20,963","13,534","11,407","20,565"
21/07/2020,Sospechosos,"3,633",96,Na,Na
22/07/2020,Confirmados,"11,041","4,142","6,116","2,712"
22/07/2020,Descartados,"21,221","13,706","11,677","20,935"
22/07/2020,Sospechosos,"3,842",98,Na,Na
23/07/2020,Confirmados,"11,473","4,264","6,116","2,782"
23/07/2020,Descartados,"21,824","13,865","12,064","21,393"
23/07/2020,Sospechosos,"3,356",109,Na,Na
24/07/2020,Confirmados,"11,753","4,364","6,308","2,852"
24/07/2020,Descartados,"22,146","14,061","12,286","21,582"
24/07/2020,Sospechosos,"3,257",128,Na,Na
25/07/2020,Confirmados,"11,904","4,544","6,491","2,936"
25/07/2020,Descartados,"22,395","14,170","12,604","21,822"
25/07/2020,Sospechosos,"3,276",135,Na,Na
26/07/2020,Confirmados,"12,121","4,615","6,706","3,091"
26/07/2020,Descartados,"22,653","14,216","13,053","22,207"
26/07/2020,Sospechosos,"3,046",133,Na,Na
27/07/2020,Confirmados,"12,235","4,626","7,068","3,182"
27/07/2020,Descartados,"22,865","14,216","13,734","22,615"
27/07/2020,Sospechosos,"2,922",133,Na,Na
28/07/2020,Confirmados,"12,471","4,742","7,152","3,326"
28/07/2020,Descartados,"23,115","14,446","14,095","22,962"
28/07/2020,Sospechosos,"3,005",111,Na,Na
29/07/2020,Confirmados,"12,568","4,904","7,334","3,549"
29/07/2020,Descartados,"23,202","14,587","14,458","23,549"
29/07/2020,Sospechosos,"3,125",121,Na,Na
30/07/2020,Confirmados,"12,819","5,083","7,463","3,590"
30/07/2020,Descartados,"23,382","14,830","14,873","23,909"
30/07/2020,Sospechosos,"3,269",116,Na,Na
31/07/2020,Confirmados,"13,061","5,276","7,603","3,690"
31/07/2020,Descartados,"23,616","15,036","15,220","24,422"
31/07/2020,Sospechosos,"3,278",121,Na,Na
01/08/2020,Confirmados,"13,313","5,426","7,812","3,842"
01/08/2020,Descartados,"23,882","15,259","15,747","24,553"
01/08/2020,Sospechosos,"3,164",155,Na,Na
02/08/2020,Confirmados,"13,506","5,438","7,971","3,892"
02/08/2020,Descartados,"24,036","15,276","16,113","24,560"
02/08/2020,Sospechosos,"2,996",236,Na,Na
03/08/2020,Confirmados,"13,664","5,628","8,199","4,035"
03/08/2020,Descartados,"24,198","16,328","16,240","24,893"
03/08/2020,Sospechosos,"2,907",236,Na,Na
04/08/2020,Confirmados,"13,876","5,719","8,415","4,228"
04/08/2020,Descartados,"24,321","16,652","16,671","25,397"
04/08/2020,Sospechosos,"3,110",279,Na,Na
05/08/2020,Confirmados,"14,096","5,888","8,657","4,386"
05/08/2020,Descartados,"24,498","16,936","17,316","25,710"
05/08/2020,Sospechosos,"3,237",230,Na,Na
06/08/2020,Confirmados,"14,352","6,012","8,835","4,618"
06/08/2020,Descartados,"24,709","17,161","17,940","26,368"
06/08/2020,Sospechosos,"3,304",278,Na,Na
07/08/2020,Confirmados,"14,550","6,168","9,067","4,744"
07/08/2020,Descartados,"24,895","17,416","18,359","26,638"
07/08/2020,Sospechosos,"3,399",259,Na,Na
08/08/2020,Confirmados,"14,847","6,324","9,261","4,828"
08/08/2020,Descartados,"25,153","17,633","19,068","26,893"
08/08/2020,Sospechosos,"3,305",254,Na,Na
09/08/2020,Confirmados,"15,032","6,509","9,271","4,922"
09/08/2020,Descartados,"25,308","18,182","19,127","21,173"
09/08/2020,Sospechosos,"3,195",214,Na,Na
10/08/2020,Confirmados,"15,402","6,620","9,393","5,051"
10/08/2020,Descartados,"25,637","18,740","19,369","27,504"
10/08/2020,Sospechosos,"2,772",214,Na,Na
11/08/2020,Confirmados,"15,681","6,803","9,522","5,226"
11/08/2020,Descartados,"25,832","19,403","19,657","27,988"
11/08/2020,Sospechosos,"2,933",179,Na,Na
12/08/2020,Confirmados,"15,852","6,958","9,782","5,425"
12/08/2020,Descartados,"25,969","19,619","20,364","28,667"
12/08/2020,Sospechosos,"3,135",203,Na,Na
13/08/2020,Confirmados,"15,934","7,135","10,182","5,565"
13/08/2020,Descartados,"26,074","19,851","21,251","29,032"
13/08/2020,Sospechosos,"3,448",212,Na,Na
14/08/2020,Confirmados,"16,030","7,216","10,389","5,755"
14/08/2020,Descartados,"26,226","20,044","21,689","29,539"
14/08/2020,Sospechosos,"3,657",302,Na,Na
15/08/2020,Confirmados,"16,223","7,325","10,783","5,755"
15/08/2020,Descartados,"26,472","20,287","22,392","29,539"
15/08/2020,Sospechosos,"3,625",302,Na,Na
16/08/2020,Confirmados,"16,381","7,378","11,038","5,790"
16/08/2020,Descartados,"26,641","20,535","22,978","29,637"
16/08/2020,Sospechosos,"3,471",191,Na,Na
17/08/2020,Confirmados,"16,593","7,393","11,284","5,927"
17/08/2020,Descartados,"26,848","20,555","23,597","29,938"
17/08/2020,Sospechosos,"3,262",169,Na,Na
18/08/2020,Confirmados,"16,847","7,475","11,466","6,111"
18/08/2020,Descartados,"27,052","20,752","23,976","30,351"
18/08/2020,Sospechosos,"3,445",233,Na,Na
19/08/2020,Confirmados,"17,056","7,585","11,706","6,324"
19/08/2020,Descartados,"27,223","21,048","24,646","30,926"
19/08/2020,Sospechosos,"3,532",231,Na,Na
20/08/2020,Confirmados,"17,587","7,657","11,834","6,413"
20/08/2020,Descartados,"27,718","21,359","25,029","31,213"
20/08/2020,Sospechosos,"3,050",207,Na,Na
21/08/2020,Confirmados,"17,710","7,842","11,981","6,708"
21/08/2020,Descartados,"27,871","21,644","25,320","31,701"
21/08/2020,Sospechosos,"3,126",100,Na,Na
22/08/2020,Confirmados,"18,115","7,995","12,160","6,728"
22/08/2020,Descartados,"28,266","21,845","25,783","31,801"
22/08/2020,Sospechosos,"2,840",120,Na,Na
23/08/2020,Confirmados,"18,355","8,040","12,377","6,864"
23/08/2020,Descartados,"28,399","21,968","26,178","32,242"
23/08/2020,Sospechosos,"2,661",70,Na,Na
24/08/2020,Confirmados,"18,547","8,051","12,755","7,045"
24/08/2020,Descartados,"28,481","22,023","27,196","32,572"
24/08/2020,Sospechosos,"2,617",69,Na,Na
25/08/2020,Confirmados,"18,849","8,200","12,986","7,145"
25/08/2020,Descartados,"28,697","22,230","27,769","32,819"
25/08/2020,Sospechosos,"2,692",89,Na,Na
26/08/2020,Confirmados,"19,033","8,335","13,259","7,313"
26/08/2020,Descartados,"28,901","22,490","28,324","33,359"
26/08/2020,Sospechosos,"2,809",75,Na,Na
27/08/2020,Confirmados,"19,231","8,407","13,468","7,562"
27/08/2020,Descartados,"29,113","22,738","28,952","33,846"
27/08/2020,Sospechosos,"2,991",114,Na,Na
28/08/2020,Confirmados,"19,567","8,544","13,567","7,714"
28/08/2020,Descartados,"29,498","23,003","29,368","34,230"
28/08/2020,Sospechosos,"2,829",92,Na,Na
29/08/2020,Confirmados,"19,907","8,715","13,787","7,766"
29/08/2020,Descartados,"29,816","23,218","29,896","34,337"
29/08/2020,Sospechosos,"2,705",78,Na,Na
30/08/2020,Confirmados,"20,131","8,761","14,040","7,816"
30/08/2020,Descartados,"29,978","23,285","30,333","34,440"
30/08/2020,Sospechosos,"2,515",79,Na,Na
31/08/2020,Confirmados,"20,324","8,766","14,430","7,946"
31/08/2020,Descartados,"30,112","23,320","31,175","34,777"
31/08/2020,Sospechosos,"2,401",79,Na,Na
01/09/2020,Confirmados,"20,595","8,927","14,526","8,046"
01/09/2020,Descartados,"30,322","23,568","31,489","35,037"
01/09/2020,Sospechosos,"2,538",71,Na,Na
02/09/2020,Confirmados,"20,794","9,029","14,741","8,180"
02/09/2020,Descartados,"30,541","23,851","31,870","35,427"
02/09/2020,Sospechosos,"2,703",85,Na,Na
03/09/2020,Confirmados,"21,049","9,165","15,035","8,240"
03/09/2020,Descartados,"30,828","24,162","32,555","35,665"
03/09/2020,Sospechosos,"2,741",86,Na,Na
04/09/2020,Confirmados,"21,441","9,264","15,165","8,311"
04/09/2020,Descartados,"31,159","24,406","32,984","35,938"
04/09/2020,Sospechosos,"2,541",76,Na,Na
05/09/2020,Confirmados,"21,629","9,380","15,539","8,372"
05/09/2020,Descartados,"31,388","24,633","33,696","36,081"
05/09/2020,Sospechosos,"2,576",106,Na,Na
06/09/2020,Confirmados,"21,805","9,439","15,667","8,457"
06/09/2020,Descartados,"31,667","24,654","33,847","36,176"
06/09/2020,Sospechosos,"2,402",138,Na,Na
07/09/2020,Confirmados,"21,906","9,446","16,130","8,511"
07/09/2020,Descartados,"31,717","24,775","34,907","36,354"
07/09/2020,Sospechosos,"2,419",82,Na,Na
Información actualizada al 7 de septiembre de 2020.,,,,,
